Date,Price,,,,,,,,,,,,,,,,
2-Jan-19,46.31,,,,,,,,,,,,,,,,
3-Jan-19,46.92,,,,,,,,,,,,,,,,
4-Jan-19,47.76,,,,,,,,,,,,,,,,
7-Jan-19,48.27,,,,,,,,,,,,,,,,
8-Jan-19,49.58,,,,,,,,,,,,,,,,
9-Jan-19,52.19,,,,,,,,,,,,,,,,
10-Jan-19,52.42,,,,,,,,,,,,,,,,
11-Jan-19,51.44,,,,,,,,,,,,,,,,
14-Jan-19,50.31,,,,,,,,,,,,,,,,
15-Jan-19,51.8,,,,,,,,,,,,,,,,
16-Jan-19,52.08,,,,,,,,,,,,,,,,
17-Jan-19,51.83,,,,,,,,,,,,,,,,
18-Jan-19,53.6,,,,,,,,,,,,,,,,
22-Jan-19,52.59,,,,,,,,,,,,,,,,
23-Jan-19,52.44,,,,,,,,,,,,,,,,
24-Jan-19,52.94,,,,,,,,,,,,,,,,
25-Jan-19,53.53,,,,,,,,,,,,,,,,
28-Jan-19,51.79,,,,,,,,,,,,,,,,
29-Jan-19,53.07,,,,,,,,,,,,,,,,
30-Jan-19,54.18,,,,,,,,,,,,,,,,
31-Jan-19,53.84,,,,,,,,,,,,,,,,
1-Feb-19,55.29,,,,,,,,,,,,,,,,
4-Feb-19,54.57,,,,,,,,,,,,,,,,
5-Feb-19,53.69,,,,,,,,,,,,,,,,
6-Feb-19,53.94,,,,,,,,,,,,,,,,
7-Feb-19,52.68,,,,,,,,,,,,,,,,
8-Feb-19,52.75,,,,,,,,,,,,,,,,
11-Feb-19,52.43,,,,,,,,,,,,,,,,
12-Feb-19,53.14,,,,,,,,,,,,,,,,
13-Feb-19,53.84,,,,,,,,,,,,,,,,
14-Feb-19,54.4,,,,,,,,,,,,,,,,
15-Feb-19,55.58,,,,,,,,,,,,,,,,
19-Feb-19,56.12,,,,,,,,,,,,,,,,
20-Feb-19,56.9,,,,,,,,,,,,,,,,
21-Feb-19,56.95,,,,,,,,,,,,,,,,
22-Feb-19,57.01,,,,,,,,,,,,,,,,
25-Feb-19,55.32,,,,,,,,,,,,,,,,
26-Feb-19,55.4,,,,,,,,,,,,,,,,
27-Feb-19,56.92,,,,,,,,,,,,,,,,
28-Feb-19,57.21,,,,,,,,,,,,,,,,
1-Mar-19,55.76,,,,,,,,,,,,,,,,
4-Mar-19,56.6,,,,,,,,,,,,,,,,
5-Mar-19,56.55,,,,,,,,,,,,,,,,
6-Mar-19,56.22,,,,,,,,,,,,,,,,
7-Mar-19,56.6,,,,,,,,,,,,,,,,
8-Mar-19,55.77,,,,,,,,,,,,,,,,
11-Mar-19,56.79,,,,,,,,,,,,,,,,
12-Mar-19,56.89,,,,,,,,,,,,,,,,
13-Mar-19,58.27,,,,,,,,,,,,,,,,
14-Mar-19,58.59,,,,,,,,,,,,,,,,
15-Mar-19,58.51,,,,,,,,,,,,,,,,
18-Mar-19,59.09,,,,,,,,,,,,,,,,
19-Mar-19,59.12,,,,,,,,,,,,,,,,
20-Mar-19,60.12,,,,,,,,,,,,,,,,
21-Mar-19,59.98,,,,,,,,,,,,,,,,
22-Mar-19,58.87,,,,,,,,,,,,,,,,
25-Mar-19,58.71,,,,,,,,,,,,,,,,
26-Mar-19,59.87,,,,,,,,,,,,,,,,
27-Mar-19,59.39,,,,,,,,,,,,,,,,
28-Mar-19,59.29,,,,,,,,,,,,,,,,
29-Mar-19,60.19,,,,,,,,,,,,,,,,
1-Apr-19,61.59,,,,,,,,,,,,,,,,
2-Apr-19,62.53,,,,,,,,,,,,,,,,
3-Apr-19,62.46,,,,,,,,,,,,,,,,
4-Apr-19,62.12,,,,,,,,,,,,,,,,
5-Apr-19,63.1,,,,,,,,,,,,,,,,
8-Apr-19,64.37,,,,,,,,,,,,,,,,
9-Apr-19,64.05,,,,,,,,,,,,,,,,
10-Apr-19,64.62,,,,,,,,,,,,,,,,
11-Apr-19,63.61,,,,,,,,,,,,,,,,
12-Apr-19,63.86,,,,,,,,,,,,,,,,
15-Apr-19,63.43,,,,,,,,,,,,,,,,
16-Apr-19,64.01,,,,,,,,,,,,,,,,
17-Apr-19,63.74,,,,,,,,,,,,,,,,
18-Apr-19,64.02,,,,,,,,,,,,,,,,
22-Apr-19,65.66,,,,,,,,,,,,,,,,
23-Apr-19,66.24,,,,,,,,,,,,,,,,
24-Apr-19,65.96,,,,,,,,,,,,,,,,
25-Apr-19,65.23,,,,,,,,,,,,,,,,
26-Apr-19,63.29,,,,,,,,,,,,,,,,
29-Apr-19,63.39,,,,,,,,,,,,,,,,
30-Apr-19,63.83,,,,,,,,,,,,,,,,
1-May-19,63.55,,,,,,,,,,,,,,,,
2-May-19,61.75,,,,,,,,,,,,,,,,
3-May-19,61.98,,,,,,,,,,,,,,,,
6-May-19,62.3,,,,,,,,,,,,,,,,
7-May-19,61.41,,,,,,,,,,,,,,,,
8-May-19,62.13,,,,,,,,,,,,,,,,
9-May-19,61.58,,,,,,,,,,,,,,,,
10-May-19,61.65,,,,,,,,,,,,,,,,
13-May-19,60.97,,,,,,,,,,,,,,,,
14-May-19,61.82,,,,,,,,,,,,,,,,
15-May-19,62.03,,,,,,,,,,,,,,,,
16-May-19,62.93,,,,,,,,,,,,,,,,
17-May-19,62.77,,,,,,,,,,,,,,,,
20-May-19,63.12,,,,,,,,,,,,,,,,
21-May-19,63.02,,,,,,,,,,,,,,,,
22-May-19,61.42,,,,,,,,,,,,,,,,
23-May-19,57.65,,,,,,,,,,,,,,,,
24-May-19,58.4,,,,,,,,,,,,,,,,
28-May-19,58.91,,,,,,,,,,,,,,,,
29-May-19,58.84,,,,,,,,,,,,,,,,
30-May-19,56.47,,,,,,,,,,,,,,,,
31-May-19,53.49,,,,,,,,,,,,,,,,
3-Jun-19,53.25,,,,,,,,,,,,,,,,
4-Jun-19,53.5,,,,,,,,,,,,,,,,
5-Jun-19,51.57,,,,,,,,,,,,,,,,
6-Jun-19,52.59,,,,,,,,,,,,,,,,
7-Jun-19,53.95,,,,,,,,,,,,,,,,
10-Jun-19,53.33,,,,,,,,,,,,,,,,
11-Jun-19,53.3,,,,,,,,,,,,,,,,
12-Jun-19,51.13,,,,,,,,,,,,,,,,
13-Jun-19,52.38,,,,,,,,,,,,,,,,
14-Jun-19,52.47,,,,,,,,,,,,,,,,
17-Jun-19,51.94,,,,,,,,,,,,,,,,
18-Jun-19,53.86,,,,,,,,,,,,,,,,
19-Jun-19,53.74,,,,,,,,,,,,,,,,
20-Jun-19,56.88,,,,,,,,,,,,,,,,
21-Jun-19,57.35,,,,,,,,,,,,,,,,
24-Jun-19,57.73,,,,,,,,,,,,,,,,
25-Jun-19,57.63,,,,,,,,,,,,,,,,
26-Jun-19,59.17,,,,,,,,,,,,,,,,
27-Jun-19,59.18,,,,,,,,,,,,,,,,
28-Jun-19,58.2,,,,,,,,,,,,,,,,
1-Jul-19,58.91,,,,,,,,,,,,,,,,
2-Jul-19,56,,,,,,,,,,,,,,,,
3-Jul-19,57.06,,,,,,,,,,,,,,,,
8-Jul-19,57.35,,,,,,,,,,,,,,,,
9-Jul-19,57.57,,,,,,,,,,,,,,,,
10-Jul-19,60.28,,,,,,,,,,,,,,,,
11-Jul-19,59.93,,,,,,,,,,,,,,,,
12-Jul-19,59.99,,,,,,,,,,,,,,,,
15-Jul-19,59.3,,,,,,,,,,,,,,,,
16-Jul-19,57.44,,,,,,,,,,,,,,,,
17-Jul-19,56.5,,,,,,,,,,,,,,,,
